country,Overall score,rank,pluralism,govfunc,poliparc,policul,civlib
Norway,9.81,1,10,9.64,10,10,9.41
Iceland,9.37,2,10,8.57,8.89,10,9.41
Sweden,9.26,3,9.58,9.29,8.33,10,9.12
New Zealand,9.25,4,10,8.93,8.89,8.75,9.71
Canada,9.24,5,9.58,8.93,8.89,9.38,9.41
Finland,9.2,6,10,8.93,8.89,8.75,9.41
Denmark,9.15,7,10,8.93,8.33,9.38,9.12
Ireland,9.05,8,10,7.86,8.33,9.38,9.71
Australia,8.96,9,10,8.57,7.78,8.75,9.71
Netherlands,8.96,9,9.58,9.29,8.33,8.75,8.82
Taiwan,8.94,11,10,9.64,7.22,8.13,9.71
Switzerland,8.83,12,9.58,8.57,7.78,9.38,8.82
Luxembourg,8.68,13,10,8.57,6.67,8.75,9.41
Germany,8.67,14,9.58,8.21,8.33,8.13,9.12
Uruguay,8.61,15,10,8.57,6.67,8.13,9.71
United Kingdom,8.54,16,10,7.5,8.89,7.5,8.82
Chile,8.28,17,9.58,8.21,6.67,8.13,8.82
Austria,8.16,18,9.58,7.5,8.33,6.88,8.53
Costa Rica,8.16,18,9.58,6.79,7.22,7.5,9.71
Mauritius,8.14,20,9.17,7.86,6.11,8.75,8.82
Japan,8.13,21,8.75,8.57,6.67,8.13,8.53
Spain,8.12,22,9.58,7.14,7.22,8.13,8.53
South Korea,8.01,23,9.17,8.21,7.22,7.5,7.94
France,7.99,24,9.58,7.5,7.78,6.88,8.24
United States,7.92,25,9.17,6.79,8.89,6.25,8.53
Portugal,7.9,26,9.58,7.5,6.11,7.5,8.82
Estonia,7.84,27,9.58,7.86,6.67,6.88,8.24
Israel,7.84,27,9.17,7.5,9.44,7.5,5.59
Italy,7.74,29,9.58,6.43,7.22,7.5,7.94
Malta,7.68,30,9.17,6.79,6.11,8.13,8.24
Czech Republic,7.67,31,9.58,6.07,6.67,7.5,8.53
Cabo Verde,7.65,32,9.17,7,6.67,6.88,8.53
Botswana,7.62,33,9.17,6.79,6.11,7.5,8.53
Cyprus,7.56,34,9.17,5.36,7.22,7.5,8.53
Slovenia,7.54,35,9.58,6.43,7.22,6.25,8.24
Belgium,7.51,36,9.58,7.86,5,6.88,8.24
Greece,7.39,37,9.58,5.21,6.11,7.5,8.53
Latvia,7.24,38,9.58,6.07,6.67,5.63,8.24
Malaysia,7.19,39,9.58,7.86,6.67,6.25,5.59
Panama,7.18,40,9.58,6.43,7.22,5,7.65
Trinidad and Tobago,7.16,41,9.58,7.14,6.11,5.63,7.35
Jamaica,7.13,42,8.75,7.14,5,6.25,8.53
Lithuania,7.13,42,9.58,6.07,5.56,5.63,8.82
Leste,7.06,44,9.58,5.93,5.56,6.88,7.35
South Africa,7.05,45,7.42,7.14,8.33,5,7.35
Colombia,7.04,46,9.17,6.43,6.67,5,7.94
Slovakia,6.97,47,9.58,6.43,5.56,5.63,7.65
Argentina,6.95,48,9.17,5.36,6.67,5.63,7.94
Brazil,6.92,49,9.58,5.36,6.11,5.63,7.94
Poland,6.85,50,9.17,5.71,6.67,5.63,7.06
Suriname,6.82,51,9.58,6.07,6.11,5,7.35
Bulgaria,6.71,52,9.17,5.71,7.22,4.38,7.06
India,6.61,53,8.67,7.14,6.67,5,5.59
Tunisia,6.59,54,9.17,5.36,7.22,5.63,5.59
Philippines,6.56,55,9.17,5,7.78,4.38,6.47
Hungary,6.56,55,8.33,6.43,5,6.25,6.76
Peru,6.53,57,8.75,5.36,5.56,5.63,7.35
Namibia,6.52,58,7,5.36,6.67,5.63,7.94
Croatia,6.5,59,9.17,6.07,6.11,4.38,6.76
Ghana,6.5,59,8.33,5.36,6.67,6.25,5.88
Mongolia,6.48,61,8.75,5.71,5.56,5.63,6.76
Romania,6.4,62,9.17,5.36,6.67,3.75,7.06
Dominican Republic,6.32,63,9.17,4.29,6.11,5,7.06
Lesotho,6.3,64,9.17,4.14,6.11,5.63,6.47
Indonesia,6.3,64,7.92,7.5,6.11,4.38,5.59
Serbia,6.22,66,8.25,5.36,6.67,3.75,7.06
Paraguay,6.18,67,8.75,5.71,5,4.38,7.06
Sri Lanka,6.14,68,7,5.71,5.56,6.25,6.18
Ecuador,6.13,69,8.75,5,6.67,3.75,6.47
Papua new Guinea,6.1,70,6.92,6.07,3.33,6.25,7.94
Albania,6.08,71,7,5.36,4.44,6.25,7.35
Mexico,6.07,72,7.83,5.71,7.78,3.13,5.88
Thailand,6.04,73,7,5,6.67,6.25,5.29
Singapore,6.03,74,4.83,7.86,4.44,6.25,6.76
Guyana,6.01,75,6.5,5.36,6.11,5,7.06
Bangladesh,5.99,76,7.42,6.07,6.11,5.63,4.71
El Salvador,5.9,77,9.17,4.29,6.11,3.75,6.18
North Macedonia,5.89,78,7.42,5.71,6.11,3.13,7.06
Ukraine,5.81,79,8.25,2.71,7.22,5,5.88
Moldova,5.78,80,7,4.64,6.11,4.38,6.76
Montenegro,5.77,81,7.42,5.71,6.11,3.13,6.47
Malawi,5.74,82,7,4.29,5,6.25,6.18
Fiji,5.72,83,6.58,5,6.11,5.63,5.29
Bhutan,5.71,84,8.75,6.79,3.33,5,4.71
Madagascar,5.7,85,7.92,3.57,6.67,5.63,4.71
Senegal,5.67,86,6.08,5.71,4.44,6.25,5.88
Hong Kong,5.57,87,3.17,3.64,5,7.5,8.53
Honduras,5.36,88,7.83,4.29,4.44,4.38,5.88
Armenia,5.35,89,7.5,5,6.11,3.13,5
